local_date,"gas price, gbp/mmbtu","coal price, gbp/tonne","carbon price, gbp/tonne"
1/1/2010,3.51,51.77,15.89
1/2/2010,3.51,51.77,15.89
1/3/2010,3.51,51.77,15.89
1/4/2010,4.38,54.99,16.46
1/5/2010,4.54,58.01,16.21
1/6/2010,4.49,58.31,15.9
1/7/2010,4.49,60.65,16.07
1/8/2010,3.94,59.34,16.38
1/9/2010,3.94,59.34,16.38
1/10/2010,3.94,59.34,16.38
1/11/2010,4.72,57.01,16.68
1/12/2010,3.72,54.23,16.41
1/13/2010,3.71,51.89,16.21
1/14/2010,3.54,52.35,16.72
1/15/2010,3.32,53.31,16.51
1/16/2010,3.32,53.31,16.51
1/17/2010,3.32,53.31,16.51
1/18/2010,3.35,52.43,16.68
1/19/2010,3.56,52.01,16.65
1/20/2010,3.62,51.73,16.37
1/21/2010,3.45,52.24,16.33
1/22/2010,3.62,52.68,16.3
1/23/2010,3.62,52.68,16.3
1/24/2010,3.62,52.68,16.3
1/25/2010,3.82,53.21,16.41
1/26/2010,3.93,53.66,16.59
1/27/2010,4.25,53.36,16.48
1/28/2010,4.2,53.3,16.18
1/29/2010,4.28,53.5,16.09
1/30/2010,4.28,53.5,16.09
1/31/2010,4.28,53.5,16.09
2/1/2010,3.71,49.77,16.03
2/2/2010,3.69,49.16,15.9
2/3/2010,3.62,48.54,16
2/4/2010,3.63,48.92,16.21
2/5/2010,3.7,49.19,16.45
2/6/2010,3.7,49.19,16.45
2/7/2010,3.7,49.19,16.45
2/8/2010,3.9,48.5,16.69
2/9/2010,3.87,48.75,16.71
2/10/2010,3.81,47.41,16.52
2/11/2010,3.66,46.82,16.28
2/12/2010,3.62,46.92,16.08
2/13/2010,3.62,46.92,16.08
2/14/2010,3.62,46.92,16.08
2/15/2010,3.6,47.34,16.15
2/16/2010,3.64,47.91,16.4
2/17/2010,3.67,47.31,16.17
2/18/2010,3.57,47.63,16.01
2/19/2010,3.5,48.49,15.92
2/20/2010,3.5,48.49,15.92
2/21/2010,3.5,48.49,15.92
2/22/2010,3.39,48.57,16.01
2/23/2010,3.28,48.77,15.97
2/24/2010,3.33,48.8,16.25
2/25/2010,3.24,49.43,16.28
2/26/2010,3.24,49.66,16.4
2/27/2010,3.24,49.66,16.4
2/28/2010,3.24,49.66,16.4
3/1/2010,3.35,51.38,16.77
3/2/2010,3.26,50.88,16.9
3/3/2010,3.28,48.81,17.02
3/4/2010,3.21,48.82,16.8
3/5/2010,3.24,48.34,16.71
3/6/2010,3.24,48.34,16.71
3/7/2010,3.24,48.34,16.71
3/8/2010,3.38,47.71,16.74
3/9/2010,3.24,46.91,16.69
3/10/2010,3.45,47.36,16.87
3/11/2010,3.48,48.07,16.55
3/12/2010,3.2,47.8,16.45
3/13/2010,3.2,47.8,16.45
3/14/2010,3.2,47.8,16.45
3/15/2010,3.38,48.73,16.61
3/16/2010,3.45,48.72,16.6
3/17/2010,3,47.89,16.47
3/18/2010,3.03,48.08,16.51
3/19/2010,2.86,48.82,16.62
3/20/2010,2.86,48.82,16.62
3/21/2010,2.86,48.82,16.62
3/22/2010,2.94,48.71,16.61
3/23/2010,3.04,48.85,16.37
3/24/2010,3.05,49.28,16.13
3/25/2010,3.01,49.28,16.16
3/26/2010,3.17,49.21,16.36
3/27/2010,3.17,49.21,16.36
3/28/2010,3.17,49.21,16.36
3/29/2010,3.2,49.06,16.35
3/30/2010,3.26,49.02,16.15
3/31/2010,3.33,49.71,16.23
4/1/2010,3.26,49.4,16.33
4/2/2010,3.26,49.4,16.32
4/3/2010,3.26,49.4,16.32
4/4/2010,3.26,49.4,16.32
4/5/2010,3.26,49.4,16.25
4/6/2010,3.26,51.41,16.49
4/7/2010,3.26,51.2,16.61
4/8/2010,3.29,51.26,16.69
4/9/2010,3.26,51.22,16.8
4/10/2010,3.26,51.22,16.8
4/11/2010,3.26,51.22,16.8
4/12/2010,3.44,50.32,16.83
